"time_horizon","mean_car","car_95","cvar_95","method","car_95_kg","mean_car_kg"
84,0.526880234088901,0.629762722694946,0.652942440597888,"Empirical resampling",629.762722694946,526.880234088901
85,0.528286955532588,0.631400576833125,0.655024644093023,"Empirical resampling",631.400576833125,528.286955532588
86,0.529943051028145,0.634139380198421,0.655501886265245,"Empirical resampling",634.139380198421,529.943051028145
87,0.531177161956513,0.634879238196137,0.656614375715924,"Empirical resampling",634.879238196137,531.177161956513
88,0.532828801391099,0.634595750194714,0.656824126495081,"Empirical resampling",634.595750194714,532.828801391099
89,0.534000360253309,0.636522103493533,0.660565162758685,"Empirical resampling",636.522103493533,534.000360253309
90,0.53547155174425,0.63874531278707,0.663771073205915,"Empirical resampling",638.74531278707,535.47155174425
91,0.536476450740353,0.640139904858751,0.662990371234133,"Empirical resampling",640.139904858751,536.476450740353
92,0.537971607821364,0.640972908127632,0.663902265583245,"Empirical resampling",640.972908127632,537.971607821364
93,0.539079120111605,0.64062648049972,0.664199018475774,"Empirical resampling",640.62648049972,539.079120111605
94,0.540909581560858,0.644258598277749,0.667363306352054,"Empirical resampling",644.258598277749,540.909581560858
95,0.542158753667533,0.642741041842983,0.667643709941391,"Empirical resampling",642.741041842983,542.158753667533
96,0.543507770953054,0.643815077139744,0.669880084148128,"Empirical resampling",643.815077139744,543.507770953054
97,0.544899543913714,0.644496062396004,0.671167667442685,"Empirical resampling",644.496062396004,544.899543913714
98,0.546179820288719,0.647238811466974,0.672327858406475,"Empirical resampling",647.238811466974,546.179820288719
99,0.547380284809635,0.647031961410435,0.67203079584344,"Empirical resampling",647.031961410435,547.380284809635
100,0.548597950473864,0.648809969532982,0.671888697648522,"Empirical resampling",648.809969532982,548.597950473864
101,0.549760165894569,0.651479846871754,0.672382844494733,"Empirical resampling",651.479846871754,549.760165894569
102,0.551651191942845,0.653279635429126,0.676284491509484,"Empirical resampling",653.279635429126,551.651191942845
103,0.552979655186112,0.654296768715979,0.678063418466321,"Empirical resampling",654.296768715978,552.979655186112
104,0.554032097187034,0.654332865897632,0.679083318017167,"Empirical resampling",654.332865897632,554.032097187034
105,0.555022811390253,0.653770371328735,0.67878640857113,"Empirical resampling",653.770371328735,555.022811390253
106,0.556332801433223,0.655229066309184,0.67973122342472,"Empirical resampling",655.229066309184,556.332801433222
107,0.556955421754675,0.65655811320626,0.680504673803404,"Empirical resampling",656.55811320626,556.955421754676
108,0.557925804559061,0.657642197197058,0.681295046895126,"Empirical resampling",657.642197197058,557.925804559061
109,0.559185702330372,0.659085022288977,0.681817138279048,"Empirical resampling",659.085022288977,559.185702330372
110,0.560293054890447,0.658884467483782,0.681431442727793,"Empirical resampling",658.884467483782,560.293054890447
111,0.56176709755846,0.660263237481302,0.683363208159354,"Empirical resampling",660.263237481302,561.76709755846
112,0.56286484759734,0.661650332271709,0.685233458439999,"Empirical resampling",661.650332271709,562.86484759734
113,0.563926671951626,0.6644733718746,0.686685765339247,"Empirical resampling",664.4733718746,563.926671951626
114,0.565316729913322,0.665877140551247,0.6887943010204,"Empirical resampling",665.877140551248,565.316729913322
115,0.565880863582044,0.664708722892583,0.689278214597595,"Empirical resampling",664.708722892583,565.880863582045
116,0.56663063595247,0.666079050505004,0.691138629840845,"Empirical resampling",666.079050505004,566.63063595247
117,0.567613886352337,0.665699111577426,0.690362221822937,"Empirical resampling",665.699111577426,567.613886352337
118,0.568304770170836,0.666887888810943,0.690149858952395,"Empirical resampling",666.887888810943,568.304770170836
119,0.569344100293523,0.669445816447567,0.691965889097258,"Empirical resampling",669.445816447567,569.344100293523
120,0.570406149804696,0.6693643880186,0.693555786040925,"Empirical resampling",669.3643880186,570.406149804696
121,0.571091035086501,0.673195490811393,0.693692396138727,"Empirical resampling",673.195490811393,571.091035086501
122,0.572385152095869,0.672890141296618,0.694786046970324,"Empirical resampling",672.890141296618,572.385152095869
123,0.573261748997009,0.672576384645128,0.694844518572703,"Empirical resampling",672.576384645128,573.261748997009
124,0.574122110034675,0.671066925255694,0.694553663694041,"Empirical resampling",671.066925255694,574.122110034675
125,0.575131043068686,0.67412148950439,0.696991892795252,"Empirical resampling",674.12148950439,575.131043068686
126,0.575571242979275,0.673584214009794,0.6957389741673,"Empirical resampling",673.584214009794,575.571242979275
127,0.576629206433099,0.674463433966218,0.697778211682965,"Empirical resampling",674.463433966218,576.629206433099
128,0.578090105534189,0.676944404528796,0.698538531286849,"Empirical resampling",676.944404528796,578.090105534189
129,0.579041647928041,0.679417553421917,0.700997368402404,"Empirical resampling",679.417553421917,579.041647928041
130,0.57960945452774,0.680056713249938,0.700844708608909,"Empirical resampling",680.056713249938,579.60945452774
131,0.580478146883019,0.679108542275519,0.700559349724289,"Empirical resampling",679.108542275519,580.478146883019
132,0.581537231474089,0.680520588292475,0.702785598786383,"Empirical resampling",680.520588292475,581.537231474089
133,0.582726726661801,0.681396433874826,0.704031277112894,"Empirical resampling",681.396433874826,582.726726661801
134,0.583498508305907,0.682006236541732,0.704938713738658,"Empirical resampling",682.006236541732,583.498508305907
135,0.584374621805917,0.684168224753807,0.705699665159836,"Empirical resampling",684.168224753807,584.374621805917
136,0.58545741779227,0.684930796282569,0.708709580086148,"Empirical resampling",684.930796282569,585.45741779227
137,0.586198693835777,0.688142758776245,0.708526725247176,"Empirical resampling",688.142758776245,586.198693835777
138,0.587051675790739,0.687457417263314,0.709352625220413,"Empirical resampling",687.457417263314,587.051675790739
139,0.587747374428314,0.68754044069879,0.709645707650739,"Empirical resampling",687.54044069879,587.747374428314
140,0.588996458628309,0.687279570514842,0.711108684579119,"Empirical resampling",687.279570514842,588.996458628309
141,0.590069793221089,0.689727508419178,0.712792374049268,"Empirical resampling",689.727508419178,590.069793221089
142,0.590972422045687,0.691398777237386,0.713304795289962,"Empirical resampling",691.398777237386,590.972422045687
143,0.591968678783228,0.68948080374746,0.711914935361184,"Empirical resampling",689.48080374746,591.968678783228
144,0.592759833736137,0.690078758330202,0.712236853300455,"Empirical resampling",690.078758330202,592.759833736137
145,0.593427791102811,0.690385907016338,0.712693839714961,"Empirical resampling",690.385907016338,593.427791102811
146,0.593942161165075,0.692484398621425,0.714278379192308,"Empirical resampling",692.484398621425,593.942161165075
147,0.594317942559522,0.693202845724654,0.713961050749155,"Empirical resampling",693.202845724654,594.317942559522
148,0.595649215127785,0.693118256505169,0.71487822775825,"Empirical resampling",693.118256505169,595.649215127785
149,0.596759549919734,0.694993146603376,0.715801750508361,"Empirical resampling",694.993146603376,596.759549919734
150,0.597323191677049,0.694466432631807,0.715533552120042,"Empirical resampling",694.466432631807,597.323191677049
151,0.598447681048003,0.695995632353243,0.717162865257747,"Empirical resampling",695.995632353243,598.447681048003
152,0.599552445401435,0.695401960017252,0.718018376445546,"Empirical resampling",695.401960017252,599.552445401435
153,0.600036487009464,0.695813417207049,0.719826987034391,"Empirical resampling",695.813417207049,600.036487009464
154,0.600647849820128,0.698964833655943,0.72125274816614,"Empirical resampling",698.964833655943,600.647849820128
155,0.60164279525947,0.698380166088943,0.722998707432728,"Empirical resampling",698.380166088943,601.64279525947
156,0.602894687149775,0.70038988906218,0.723814386067768,"Empirical resampling",700.38988906218,602.894687149775
157,0.603621585006472,0.70225927329892,0.724297399054919,"Empirical resampling",702.25927329892,603.621585006472
158,0.604279078949486,0.702296840502707,0.725247533141666,"Empirical resampling",702.296840502707,604.279078949486
159,0.604898594370979,0.702378815218333,0.72655479591681,"Empirical resampling",702.378815218333,604.898594370979
160,0.606165652138991,0.703560810121383,0.728677856023748,"Empirical resampling",703.560810121383,606.165652138991
161,0.6064508999218,0.704249862009,0.728803766607647,"Empirical resampling",704.249862009,606.450899921799
162,0.607115490620491,0.703833462238396,0.728766278401433,"Empirical resampling",703.833462238396,607.115490620491
163,0.607798246833831,0.704056216210531,0.728923791247035,"Empirical resampling",704.056216210531,607.798246833831
164,0.608250676974617,0.705939631086592,0.72832884606383,"Empirical resampling",705.939631086592,608.250676974617
165,0.609315682919363,0.708347235979447,0.730713595135998,"Empirical resampling",708.347235979447,609.315682919363
166,0.610234980581627,0.71034685638921,0.730520588881123,"Empirical resampling",710.34685638921,610.234980581627
167,0.610845238638724,0.709443664072615,0.731721049924727,"Empirical resampling",709.443664072615,610.845238638724
168,0.611539685035562,0.710153786913139,0.732849592301036,"Empirical resampling",710.153786913139,611.539685035562
169,0.611975218823283,0.711638125237871,0.732957282869633,"Empirical resampling",711.638125237871,611.975218823282
170,0.61279651330486,0.710471604268821,0.731556671960491,"Empirical resampling",710.471604268821,612.79651330486
171,0.613720988534732,0.711964952801252,0.732723152506853,"Empirical resampling",711.964952801252,613.720988534732
172,0.614067359778408,0.712553928974111,0.732323337363024,"Empirical resampling",712.553928974111,614.067359778408
173,0.614636270714912,0.712999138939971,0.734237066921032,"Empirical resampling",712.999138939971,614.636270714912
174,0.615318558234166,0.714521155243947,0.736467574807612,"Empirical resampling",714.521155243947,615.318558234166
175,0.615928269158209,0.715369879012308,0.737334040542096,"Empirical resampling",715.369879012308,615.928269158209
176,0.616876635569152,0.715997957776653,0.738650247463265,"Empirical resampling",715.997957776653,616.876635569152
177,0.617901604682274,0.719272055759639,0.740331791196007,"Empirical resampling",719.272055759639,617.901604682274
178,0.618241930803082,0.718147327157307,0.740047987399133,"Empirical resampling",718.147327157307,618.241930803082
179,0.618883699756734,0.717605106029031,0.739286435120504,"Empirical resampling",717.605106029031,618.883699756734
180,0.619893532885042,0.717799936831837,0.740165531444686,"Empirical resampling",717.799936831837,619.893532885042
181,0.620323320170794,0.719658261683574,0.74132398627702,"Empirical resampling",719.658261683574,620.323320170794
182,0.621208565124766,0.719521314113335,0.739839360014496,"Empirical resampling",719.521314113335,621.208565124766
183,0.621563840404204,0.720216241358184,0.740788042727645,"Empirical resampling",720.216241358184,621.563840404204
184,0.621948972000279,0.719082231408567,0.741579193691012,"Empirical resampling",719.082231408567,621.948972000279
185,0.622905505034382,0.719945861293615,0.743039716123282,"Empirical resampling",719.945861293615,622.905505034382
186,0.623805702971381,0.722453379190048,0.744157759258667,"Empirical resampling",722.453379190048,623.805702971381
187,0.624630529037694,0.724657096641145,0.745949551779149,"Empirical resampling",724.657096641145,624.630529037694
188,0.625335983598248,0.723118132549558,0.746260793531586,"Empirical resampling",723.118132549558,625.335983598248
189,0.625439937696961,0.725614602613932,0.747367700606264,"Empirical resampling",725.614602613932,625.439937696961
190,0.626557049460604,0.72599258403686,0.748889113520703,"Empirical resampling",725.99258403686,626.557049460603
191,0.626970416238955,0.726388260280289,0.749004752518104,"Empirical resampling",726.388260280289,626.970416238955
192,0.627712322049377,0.725818298212266,0.747046896965563,"Empirical resampling",725.818298212266,627.712322049377
193,0.628124428362656,0.726855112596059,0.746997768973245,"Empirical resampling",726.855112596059,628.124428362656
194,0.628647150221667,0.723823356393938,0.747145518216347,"Empirical resampling",723.823356393938,628.647150221666
195,0.629356442502037,0.726250900714272,0.747881494986861,"Empirical resampling",726.250900714272,629.356442502037
196,0.629845077072435,0.727526295334734,0.749926975946276,"Empirical resampling",727.526295334734,629.845077072435
197,0.630413554529256,0.727017679249628,0.750952917467433,"Empirical resampling",727.017679249628,630.413554529256
198,0.630794655167258,0.728003672080187,0.750337553097972,"Empirical resampling",728.003672080187,630.794655167257
199,0.631726180729717,0.730311285058854,0.752827684701832,"Empirical resampling",730.311285058854,631.726180729717
200,0.631678209758223,0.730642316569229,0.752439079519201,"Empirical resampling",730.642316569229,631.678209758223
1,0.0211872303702858,0.0799109809025449,0.192412290125628,"Spliced GPD",79.9109809025448,21.1872303702858
2,0.0420002815503765,0.135744315892041,0.304280629803213,"Spliced GPD",135.744315892041,42.0002815503765
3,0.061694179501276,0.197081460577903,0.389208700182624,"Spliced GPD",197.081460577903,61.694179501276
4,0.0808221179174542,0.248880782608964,0.44513543644028,"Spliced GPD",248.880782608964,80.8221179174542
5,0.0978023868024352,0.280401822773692,0.474152419514273,"Spliced GPD",280.401822773692,97.8023868024352
6,0.115722343100418,0.322474771275577,0.520944021924851,"Spliced GPD",322.474771275577,115.722343100418
7,0.132282627411506,0.353849927969539,0.546815283505264,"Spliced GPD",353.849927969539,132.282627411506
8,0.148540962925723,0.383085809581405,0.576060576294747,"Spliced GPD",383.085809581405,148.540962925723
9,0.163877940441636,0.412096069990297,0.605891464962061,"Spliced GPD",412.096069990297,163.877940441636
10,0.178858115161554,0.440325702212393,0.627319782698297,"Spliced GPD",440.325702212393,178.858115161554
11,0.194534306866484,0.468171868143757,0.659940962522687,"Spliced GPD",468.171868143757,194.534306866484
12,0.208765888920241,0.489968031012452,0.684980237999689,"Spliced GPD",489.968031012452,208.765888920241
13,0.222148946548123,0.514587910219236,0.700663642586621,"Spliced GPD",514.587910219236,222.148946548123
14,0.234372384920491,0.524037817682378,0.709238576502263,"Spliced GPD",524.037817682378,234.372384920491
15,0.246927852888442,0.544136502518333,0.722015686631767,"Spliced GPD",544.136502518333,246.927852888442
16,0.258566693270235,0.562521947658368,0.72782130528067,"Spliced GPD",562.521947658368,258.566693270235
17,0.271022610340335,0.581970391740839,0.739265645956381,"Spliced GPD",581.970391740839,271.022610340335
18,0.282214049389762,0.601300417687101,0.745720436445613,"Spliced GPD",601.300417687101,282.214049389762
19,0.292837687658072,0.60921635184839,0.757314610978047,"Spliced GPD",609.21635184839,292.837687658072
20,0.303684027632141,0.623430555987973,0.767017665160368,"Spliced GPD",623.430555987973,303.684027632141
21,0.313465922960249,0.634363120640812,0.774672092865828,"Spliced GPD",634.363120640812,313.465922960249
22,0.322852685255294,0.63621106133601,0.77917280396698,"Spliced GPD",636.21106133601,322.852685255294
23,0.332922385932188,0.657167995995292,0.784723024485619,"Spliced GPD",657.167995995292,332.922385932188
24,0.341228888349471,0.66361961730315,0.786006254414419,"Spliced GPD",663.61961730315,341.228888349471
25,0.350030307004512,0.670532311559594,0.785602602790115,"Spliced GPD",670.532311559594,350.030307004512
26,0.35894156484128,0.676098519404565,0.787441256965082,"Spliced GPD",676.098519404565,358.94156484128
