"time_horizon","mean_car","car_95","cvar_95","multiplier","label","regrowth_pct"
24,0.303102524634746,0.432934267949887,0.467964678721677,1,"1.0x baseline",2
25,0.311139604648506,0.440596264497397,0.472761595954252,1,"1.0x baseline",2
26,0.319066368945365,0.450251067010889,0.479045653031252,1,"1.0x baseline",2
27,0.326332651907472,0.455339690461057,0.484708053332358,1,"1.0x baseline",2
28,0.333596386923124,0.460820863011959,0.491225797288345,1,"1.0x baseline",2
29,0.340104720671138,0.468110066135142,0.49865455639543,1,"1.0x baseline",2
30,0.347046367382005,0.475272603944233,0.503329346986382,1,"1.0x baseline",2
31,0.353916285256985,0.479661625715835,0.508320534200672,1,"1.0x baseline",2
32,0.359858504091864,0.484556171273297,0.513964050173964,1,"1.0x baseline",2
33,0.366084128397945,0.487237488346397,0.51745883168209,1,"1.0x baseline",2
34,0.371610797268485,0.493034499750169,0.521818341627529,1,"1.0x baseline",2
35,0.378243846176085,0.499588326519796,0.528120437889617,1,"1.0x baseline",2
36,0.38393290167988,0.506063955685094,0.533330192156111,1,"1.0x baseline",2
37,0.389606590458149,0.5103297491746,0.538224319947996,1,"1.0x baseline",2
38,0.39470625143836,0.513275064738177,0.541996518394231,1,"1.0x baseline",2
39,0.399610921882128,0.521317317724033,0.547158292351911,1,"1.0x baseline",2
40,0.404795777201905,0.525052197319717,0.552964855899882,1,"1.0x baseline",2
41,0.409324039338158,0.53121689847547,0.557274320065225,1,"1.0x baseline",2
42,0.413800652865097,0.532176319012106,0.559872972622168,1,"1.0x baseline",2
43,0.418413755887773,0.536665553418629,0.563025171727775,1,"1.0x baseline",2
44,0.422883249800585,0.542610223525582,0.56803706085911,1,"1.0x baseline",2
45,0.426738200268917,0.545898852448475,0.570223331640798,1,"1.0x baseline",2
46,0.430847726656494,0.546629433804276,0.572484937655435,1,"1.0x baseline",2
47,0.434967810961204,0.551421758432244,0.577754067186992,1,"1.0x baseline",2
48,0.438676005300231,0.553561712048264,0.579845835365615,1,"1.0x baseline",2
49,0.442510220376143,0.554739277632932,0.581635134292269,1,"1.0x baseline",2
50,0.446145210570067,0.560960443037123,0.58468690072583,1,"1.0x baseline",2
51,0.449816445886833,0.563290920949463,0.590427763544262,1,"1.0x baseline",2
52,0.453873623149699,0.568360805450473,0.593344150428282,1,"1.0x baseline",2
53,0.457136142078072,0.57274346334775,0.596696374077039,1,"1.0x baseline",2
54,0.460549656197067,0.576306295365646,0.60127183806588,1,"1.0x baseline",2
55,0.463457315746755,0.576388955221258,0.602397156451159,1,"1.0x baseline",2
